Judul Artikel,Penulis,Tahun Publikasi
COLLABORATION BETWEEN ENGLISH LECTURER AND ENGINEERING LECTURER TO DESIGN ENGLISH LESON FOR ENGINEERING STUDENTS THROUGH LESSON STUDY,COLLABORATION BETWEEN ENGLISH LECTURER AND ENGINEERING LECTURER TO DESIGN ENGLISH LESON FOR ENGINEERING STUDENTS THROUGH LESSON STUDY,20212
PELATIHAN PEMBUATAN KONTEN DIGITAL UNTUK MENDUKUNG PROSES PEMBELAJARAN BAGI GURU SMA 4 LUWU UTARA,PELATIHAN PEMBUATAN KONTEN DIGITAL UNTUK MENDUKUNG PROSES PEMBELAJARAN BAGI GURU SMA 4 LUWU UTARA,20212
EDUKASI PENTINGNYA KESADARAN TERHADAP PENCEMARAN DI PESISIR PANTAI KAYUANGIN KEC. SAMATURU KOLAKA,EDUKASI PENTINGNYA KESADARAN TERHADAP PENCEMARAN DI PESISIR PANTAI KAYUANGIN KEC. SAMATURU KOLAKA,20212
PELATIHAN PENGOLAHAN LIMBAH PLASTIK MENJADI BAHAN BAKAR MINYAK DI KEC. MALILI KAB. LUWU TIMUR,PELATIHAN PENGOLAHAN LIMBAH PLASTIK MENJADI BAHAN BAKAR MINYAK DI KEC. MALILI KAB. LUWU TIMUR,20212
IMPLEMENTASI GAME EDUKASI MEGENAL PENDIDIKAN KEWARGANEGARAAN BERBASIS MOBILE,IMPLEMENTASI GAME EDUKASI MEGENAL PENDIDIKAN KEWARGANEGARAAN BERBASIS MOBILE,20212
PELATIHAN MANAJEMEN BENGKEL BAGI TEKNISI BENGKEL DAN LABORAN DI SMK,PELATIHAN MANAJEMEN BENGKEL BAGI TEKNISI BENGKEL DAN LABORAN DI SMK,20212
PELATIHAN PUBLIC SPEAKING DI SMK ANALIS MANDALA BHAKTI,PELATIHAN PUBLIC SPEAKING DI SMK ANALIS MANDALA BHAKTI,20212
PENGARUH LIMBAH AMPAS SAGU TERHADAP PERTUMBUHAN DAN HASIL TANAMAN KACANG TANAH (ARACHIS HYPOGAEA L),PENGARUH LIMBAH AMPAS SAGU TERHADAP PERTUMBUHAN DAN HASIL TANAMAN KACANG TANAH (ARACHIS HYPOGAEA L),20211
PENINGKATAN HASIL BELAJAR SISWA MENGGUNAKAN MODEL PEMBELAJARAN KOOPERATIF TIPE NUMBERED HEAD TOGETHER,PENINGKATAN HASIL BELAJAR SISWA MENGGUNAKAN MODEL PEMBELAJARAN KOOPERATIF TIPE NUMBERED HEAD TOGETHER,20211
HUBUNGAN SIKAPKERJA DENGAN KELUHAN MUSKULOSKELETAL TERHADAP KINERJA KARYAWAN PT MARUKI INTERNASIONAL INDONESIA MAKASSAR,HUBUNGAN SIKAPKERJA DENGAN KELUHAN MUSKULOSKELETAL TERHADAP KINERJA KARYAWAN PT MARUKI INTERNASIONAL INDONESIA MAKASSAR,20211
OPTIMALISASI KADAR ASAM ASETAT ANANAS COMOSUS DENGAN PENAMBAHAN INDUK CUKA,OPTIMALISASI KADAR ASAM ASETAT ANANAS COMOSUS DENGAN PENAMBAHAN INDUK CUKA,20211
